dataset,epochs,way,train_shot,test_shot,dld,optimizer,lr,initialization,loss,trials,silent,split,gpu,test_batch,full_test,save_data,accuracy,duration_sec
covtype,3,7,1,2,True,adam,0.01,xavier_normal,MSELoss(),100,False,train,1,2000,False,False,0.2478571428571428,57.88411235809326
covtype,3,7,1,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.2478571428571428,55.58370304107666
covtype,3,7,1,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.165,52.59392499923706
covtype,3,7,1,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.1514285714285714,51.84850811958313
covtype,3,7,1,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.1485714285714285,51.67468070983887
covtype,3,7,5,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.382142857142857,61.356996059417725
covtype,3,7,5,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.2285714285714285,59.8736629486084
covtype,3,7,5,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.1528571428571428,61.90165305137634
covtype,3,7,5,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.1507142857142857,62.08850288391113
covtype,3,7,10,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.4599999999999999,69.7710645198822
covtype,3,7,10,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.3449999999999999,77.14832544326782
covtype,3,7,10,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.1685714285714285,72.06040644645691
covtype,3,7,10,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.1635714285714285,70.92097663879395
covtype,3,7,100,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.5214285714285714,246.3570032119751
covtype,3,7,100,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.5635714285714285,245.1742160320282
covtype,3,7,100,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.3414285714285714,246.59005880355835
covtype,3,7,100,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.2485714285714285,245.9403247833252
covtype,3,7,300,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,1,2000,False,False,0.4771428571428571,644.1202600002289
